Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
100 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,10,395,293,601,601,844,251,844,0.00%,1.0,1.2
101 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,10,350,256,366,366,1033,238,1033,0.00%,1.0,1.2
313 /prisma-api/secure/rest/mdm/agencies,100,951,732,1780,1941,2404,305,2435,0.00%,7.2,9.1
99 /prisma-api/secure/rest/mdm/agencies,10,1062,853,1722,1722,2099,286,2099,0.00%,1.0,1.3
314 /prisma-api/secure/rest/mdm/agencies,100,833,695,1569,1763,2072,289,2076,0.00%,7.3,9.1
316 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,100,441,338,706,1004,1265,235,1367,0.00%,7.3,8.8
104 /prisma-api/secure/rest/mdm/agencies,10,1059,770,1731,1731,2124,523,2124,0.00%,1.0,1.2
315 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,100,411,312,786,866,984,237,1100,0.00%,7.3,8.8
105 /prisma-api/secure/rest/secadmin/users,10,1138,1093,1384,1384,1406,709,1406,0.00%,1.0,29.5
106 /ideskos-viewport/user/logout,10,275,256,348,348,365,239,365,0.00%,1.0,.6
318 /prisma-api/secure/rest/secadmin/users,100,1476,1327,2613,2712,2919,403,3111,0.00%,6.8,405.5
107 /ideskos-viewport/session,10,207,206,210,210,214,205,214,0.00%,1.0,.5
324 /ideskos-viewport/user/logout,100,297,249,475,554,650,230,657,0.00%,7.2,4.3
326 /ideskos-viewport/session,100,237,207,224,603,608,202,610,0.00%,7.2,3.9
108 /viewport-home/,10,615,613,624,624,626,605,626,0.00%,1.0,9.4
117 /cas/ticketStatus,10,203,203,204,204,207,201,207,0.00%,1.0,.3
Login Transaction-PATS,10,32862,32340,34191,34191,38269,29433,38269,0.00%,.3,47.9
327 /viewport-home/,100,615,609,621,625,635,605,1006,0.00%,7.0,68.4
337 /cas/ticketStatus,100,214,202,212,226,602,199,602,0.00%,7.2,2.3
338 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,100,327,267,467,549,663,242,1053,0.00%,7.2,109.9
339 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,100,276,254,313,449,500,237,514,0.00%,7.2,88.0
Login Transaction-PFS,100,38731,38357,42766,43404,44160,31031,44479,1.00%,2.2,1668.4
TOTAL,6070,1384,440,1834,2694,37303,0,44479,0.05%,133.4,3366.3
